apt-alarm  | [2024-01-18 13:46:31] [INFO] 서울특별시 서초구 양재동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:31] [INFO] 서울특별시 강남구 삼성동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:31] [INFO] 서울특별시 동대문구 청량리동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:31] [INFO] 서울특별시 동대문구 회기동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:31] [INFO] 서울특별시 강남구 청담동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 송파구 문정동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 서초구 방배동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 서초구 내곡동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 양천구 목동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 강남구 신사동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 중구 명동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 동작구 상도동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 강서구 방화동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 영등포구 여의도동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 강서구 가양동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 양천구 신정동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 강남구 도곡동, processId: 10, threadID: 140116985562944
apt-alarm  | [2024-01-18 13:46:32] [INFO] 서울특별시 강남구 도곡동, processId: 10, threadID: 140116985562944
